segment,segment_day,V,curr_D,P,temp,H,Tmean,wave_D,VM,DM,VG,sea_temp
15,103,216.7727,185.0909,1012.4542,21.9458,154.5417,51.7917,55.3333,86.625,67.0833,110.4583,25.9
15,104,340.75,183.9167,1015.9792,20.1583,221.9583,57.6667,50.5417,119.5417,24.7917,152.5417,25.4125
15,105,354.0909,185.1364,1016.9042,20.9333,146.3333,52.875,75,92.6667,20.9583,115.875,25.1875
15,106,325.1579,190.6842,1016.2958,22.0167,79.125,49.875,43.5833,61.125,50.125,77.2917,25.0625
15,107,260.75,167.875,1015.919,22.2333,89.05,47.4,32.3,75.7619,14.8095,94.9524,25.1143
15,108,498.913,229.3478,1018.7625,19.3125,305.5833,62.375,71.7083,152.5,27.375,193.6667,24.7167
15,109,479.087,232.6522,1020.3042,17.65,297.125,61.4167,51.5,147.0417,24.5417,187.2917,24.1083
15,110,517.625,246.875,1020.0958,18.2208,289.8333,61.2083,52.125,136.8333,29,175.9167,23.3083
15,111,438.4091,205.3182,1020.4458,19.45,206.3333,56.5833,76.9167,117,23.75,146.3333,23.4792
15,112,269.5714,178,1018.9958,20.1542,119.0833,52.25,61.9167,71.25,23.75,89.2083,24.275
15,113,157.4167,173.4167,1016.7417,20.95,73.7917,48.5,120.8333,54.2917,71.5833,69.375,25.0958
15,114,287.4545,199.9545,1015.6708,21.8042,136.1739,50.5652,50,82.625,44.25,100.7917,25.3417
15,115,145.5,128.0909,1014.1632,22.6958,126.2083,57.1667,45.4583,46.6667,57.4583,63.5,26.1542
15,116,195.1739,105.7826,1013.2316,22.9208,86.25,54.7917,40.7917,33.0833,224,48.4167,26.3917
15,117,109.625,118.7917,1012.2458,23.5792,55.4167,45.75,51.2083,36.0417,117.7391,50.6522,26.0833
15,118,102.25,105.75,1011.1,24.1292,38.9583,45.7083,119.6667,27,161.3,42.8,26.4542
15,119,110.8095,119.0476,1009.3583,24.8833,39.4583,50.9167,140.8333,17.8333,236.2105,34.5263,27.0292
15,120,102.8421,149.7368,1007.2167,25.2042,58.375,60.375,154.6667,9.375,247.9167,30.8333,27.275
15,121,151.1429,175.381,1007.6429,24.4167,73.6667,59.9583,113.9583,48.3333,198.1667,63.125,26.6417
15,122,418.9583,203.9167,1011.1071,22.3792,220.9167,58.8333,61.7917,112.0417,23.625,133.8333,26
15,123,345.087,210.3913,1012.6429,21.8167,190.9167,57.375,79.2083,91.6667,28.5,114.5833,25.5917
15,124,573.8,174,1015.8941,21.5083,140.4583,51.75,33.4583,89.6667,34.5417,109.5,25.6833
15,125,361.25,218.5625,1016.25,21.9875,94.6667,48,29.1667,72.7917,38.375,90.4167,25.775
15,126,321.5294,210.7059,1016.5765,21.675,120.625,48.9167,69.4583,87.7083,29.9583,108.75,26.05
15,127,216.875,171.625,1015.6706,22.1,82.2917,46.5,71.3333,64,38.0417,80.75,26.3708
15,128,98.381,208.0952,1013.405,23.8625,52.7917,44.875,81.1667,34.5417,43.9583,47,26.8625
15,129,57.8333,183.125,1012.9458,25.6708,30.625,48.9167,153.75,14.2917,72.619,25.1429,26.9958
15,130,149.4167,121.125,1011.48,25.1542,55.5,39.7727,136.1364,43.375,163.6087,63.4783,26.9292
15,131,157.1667,116.875,1010.3652,25.5917,37.625,46.7917,156.2083,17.4167,245.25,25.375,27.1208
15,132,191.05,105.7,1010.2824,26.1667,62.1667,45.9167,143.5833,24.8333,182.7826,35.8261,26.7667
15,133,193.0714,112.5714,1009.9875,26.4958,84.0417,46.375,149.1667,43.8333,202.9167,56,26.9833
15,134,158.4286,117.1429,1010.6833,26.2375,34.7083,49.7083,162.6667,21.0833,198,29.2083,27.5167
15,135,259.3889,161.0556,1011.9813,25.4708,63.4167,47.7917,64.75,39.0833,35.125,51.0833,27.9542
15,136,229.4348,101.5217,1011.6389,25.8542,54.9167,45.4583,104.1667,36.1667,215,52,27.7583
15,137,302.55,204.95,1011.4458,23.8792,148.4167,53.3333,52,87.4167,30,106.7083,27.2083
16,1,608.3913,59.7083,1009.1875,27.5792,33.5833,46.9167,201.1667,23.4583,189.5,31.8636,27.3333
16,2,757.2083,79,1008.5708,28.0042,31.5833,45.1667,224.1667,26.7917,193.625,32.1667,27.325
16,3,723.125,80.25,1008.15,27.8708,39.7083,48.125,239.2083,23.2083,194.0455,30.8182,27.2542
16,4,689.4167,86.125,1006.7417,28.1708,46.5652,51.6957,235.8696,24.5,199.6522,31.087,27.5292
16,5,734.125,37.375,1007.3583,28.5625,50,54.2917,234.9167,24.8333,225.0833,30.5833,28.5
16,6,703.0833,41.7083,1010.3458,28.6792,43.875,53.25,229.375,24.125,234.5,30.4167,28.7
16,7,740.4348,42.087,1010.9292,29.0708,45.2083,46.8333,221.9167,26.6667,221.8261,35.6957,29.1333
16,8,742.1739,46.1667,1009.0958,28.7958,90.6522,44,163.8696,45,202.125,57.1667,28.7083
16,9,856.3913,55.9565,1008.3792,28.3875,98.1739,42.3478,162.4783,62.25,191,77,28.6917
16,10,730.9583,64.875,1010.175,28.125,43.4167,38.375,168.3333,24.7917,222.0476,37.0952,28.6042
16,11,716.7917,69.2917,1008.85,28.6917,36.4583,41.8333,166.4583,20.6667,149.55,32.05,29.2833
16,12,782.25,59.7083,1005.8292,28.9458,66.7391,48.1739,169.7826,17.625,109.1304,27,29.8958
16,13,768.5217,55.3913,1004.413,29.313,129.5217,51.2609,163.7826,49.4783,127.3043,64.6522,29.8043
16,14,621.5833,132.2083,1004.5083,28.7792,85.9565,54.4783,174.5652,34.5833,163.0833,44.7083,29.375
16,15,635.2,82.05,1005.4375,28.4542,121.7083,63,190.4583,29.875,265.0952,48.1905,29.6375
16,16,660.0417,61.5417,1006.25,28.4833,250.7083,71.9583,206.7083,63.8333,169.625,81.0417,29.2375
16,17,584.8333,77.5833,1006.0792,28.3917,206.4167,69.2083,220.4583,53.1667,166.125,68.9583,28.9958
