SeaTemp_mean,SeaTemp_min,SeaTemp_max,Temperature_mean,Temperature_min,Temperature_max,SeaPres_mean,WS_mean,WD_mean,class,segment,segment_day
18.57583333,18.4,19.1,16.49583333,15.3,17.8,1016.966667,6.204166667,30,1,3,27
18.39208333,18.3,18.61,16.69166667,15.4,19,1014.5875,5.008333333,62.91666667,1,3,28
17.9625,17.42,18.52,14.125,13.1,15.5,1017.708333,8.3375,18.33333333,1,3,29
17.17041667,16.8,17.95,14.625,13.4,16.3,1019.404167,6.604166667,16.25,2,3,30
16.80427008,16.543718,17.39,14.76666667,12.4,17.4,1018.845833,6.05,57.91666667,3,3,31
16.51935185,16,17.2,12.90833333,11.9,14.1,1020.5875,7.075,17.08333333,3,3,32
16.0825,15.64,16.7,13.86666667,13.1,14.5,1022.420833,6.720833333,31.25,3,3,33
15.55458333,14.9,16.3,11.9875,11.2,13.1,1023.991667,7.7875,15.83333333,3,3,34
14.85175926,14.24,15.6,11.09583333,10.6,11.6,1024.433333,7.341666667,15.41666667,3,3,35
14.14833333,13.72,14.87,10.54583333,10.1,10.9,1024.945833,6.75,15.41666667,3,3,36
13.53083333,13.2,13.99,12.50416667,11,14.8,1022.3125,7.145833333,18.75,3,3,37
13.36958333,13.2,13.6,13.29583333,12.8,14.3,1019.75,5.45,45.83333333,3,3,38
13.44625,13.3,13.66666667,14.72083333,13.4,16.3,1017.920833,5.1,24.16666667,3,3,39
13.81657763,13.7,14,15.325,13.5,18,1016.325,4.6125,158.75,3,3,40
14.27476852,14.1,14.43611112,15.87083333,14.9,17.6,1017.216667,4.858333333,45,3,3,41
14.53829077,14.433746,14.6671715,14.05416667,13,16.1,1022.125,7.291666667,16.25,3,3,42
14.36083333,14.18,14.63,14.82083333,13.4,17,1025.025,6.504166667,20.83333333,1,3,43
14.35666667,14.1,14.6,15.6625,13.8,18.2,1023.625,4.7375,57.5,1,3,44
14.71291667,14.5,14.96,18.00833333,14.7,23.5,1019.441667,2.316666667,100.8333333,1,3,45
15.81333333,15.03,16.21,20.99166667,17.3,25.5,1016.0375,2.095833333,162.5,1,3,46
16.9975,16.24,17.79,20.87916667,18.8,23.7,1014.566667,3.420833333,37.08333333,1,3,47
17.78625,17.04,18.1,17.79583333,16.6,18.8,1017.133333,6.041666667,17.91666667,0,3,48
18.08196596,17.997314,18.15403,19.59785683,16.7,22.111935,1017.282775,2.271836,37.1117441,0,3,49
18.41388504,17.8,18.7,21.15753592,18.2,26.1,1016.094552,1.857731929,165.7381632,0,3,50
18.73666667,18.22,19.04,19.48333333,18.1,21.9,1014.991667,3.7375,45.41666667,0,3,51
19.06416667,18.79,19.21,17.74166667,17,18.6,1015.004167,5.95,20.41666667,0,3,52
19.02566433,18.90204,19.180042,17.34497888,16.557209,18.77473,1018.104346,4.489920229,40.299339,0,3,53
18.43326542,18.3,18.94837,17.00189283,15.9,18.7,1019.208031,5.427717583,17.00298046,0,3,54
18.34708333,18.3,18.4,18.3625,16.8,21.8,1019.2875,3.5625,46.25,0,3,55
18.61708333,18.4,18.7,18.80416667,17.4,21,1017.958333,4.741666667,19.58333333,0,3,56
18.58166667,18.41,18.7,17.30833333,16.8,18.1,1019.05,6.470833333,16.66666667,0,3,57
18.44583333,18.4,18.6,18.52916667,17,21.1,1017.629167,3.770833333,93.75,0,3,58
18.79833333,18.4,19.1,20.625,18.1,23.6,1013.666667,1.795833333,140,0,3,59
16.43833333,16,17.3,13.5625,12.3,14.2,1024.308333,5.366666667,171.25,1,4,1
16.13625,15.9,16.78,15.54166667,14.3,17.1,1022.429167,5.158333333,70,1,4,2
16.16791667,16,16.58,16.12916667,14.8,17.8,1022.283333,5.470833333,141.6666667,1,4,3
16.3675,16.2,16.58,16.5375,15.7,17.6,1020.9375,5.295833333,40,1,4,4
16.4825,16.3,16.69,16.40833333,16,16.8,1019.725,6.175,170.8333333,1,4,5
16.47125,16.4,16.6,16.5,15.6,17.9,1018.770833,6.316666667,41.25,2,4,6
16.38490741,16.2,16.6,14.20833333,12.6,15.7,1020.104167,7.533333333,29.16666667,3,4,7
15.69875,15.2,16.4,11.24583333,10.6,12.3,1023.3875,7.3375,14.58333333,3,4,8
14.86375,14.6,15.7,11.41666667,10.7,12.9,1023.358333,7.179166667,19.16666667,3,4,9
14.45375,14.1,15.1,13.9875,11.9,16.3,1022.416667,6.029166667,45.83333333,3,4,10
14.50333333,14.2,14.99,12.82916667,11.5,15.3,1023.145833,6.129166667,184.5833333,3,4,11
14.23291667,13.9,14.9,12.65,11.4,14.1,1022.033333,5.55,129.5833333,3,4,12
14.085,13.7,14.69,14.35833333,12.4,17.3,1019.308333,3.845833333,100.8333333,1,4,13
14.28416667,14,14.6,15.2125,13.4,18.2,1017.891667,2.820833333,310.8333333,1,4,14
14.83166667,14.6,15.2,15.94166667,13.8,18.8,1016.283333,2.558333333,282.9166667,1,4,15
15.27541667,15.1,15.4,16.70416667,15.3,19.4,1016.983333,5.533333333,157.5,1,4,16
